job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,8555,5049,vgg16,747,14
1,1,832,296,vgg19,98,8
2,1,14341,3621,alexnet,30,17
3,1,16962,5458,inception3,158,5
4,1,13553,6315,inception3,26,20
5,1,11521,7266,vgg16,30,6
6,1,13874,6148,inception3,393,21
7,1,6915,8952,alexnet,157,14
8,1,3262,7681,vgg16,271,6
9,1,16967,8602,vgg19,163,8
10,1,276,4176,inception3,89,15
11,8,9176,7309,resnet101,122,12
12,4,1256,5274,resnet101,102,22
13,1,14418,2337,vgg19,30,7
14,1,3876,4586,vgg16,77,25
15,1,3885,5106,alexnet,68,9
16,4,18350,6280,vgg19,1601,16
17,1,3290,838,resnet101,35,12
18,1,3287,1301,alexnet,35,17
19,1,12309,6012,alexnet,31,18
20,1,16966,3355,inception3,148,15
21,1,1331,5414,vgg19,41,23
22,1,6901,7858,vgg19,156,16
23,1,14341,6395,vgg19,23,13
24,1,13680,5912,vgg16,325,18
25,1,17839,7875,alexnet,20,25
26,1,14290,2597,vgg16,21,14
27,1,5709,7530,alexnet,178,16
28,1,77,176,alexnet,85,22
29,1,1030,9213,alexnet,59,15
30,1,829,6544,alexnet,57,15
31,1,2,2673,alexnet,82,5
32,1,19164,8131,vgg16,76,22
33,1,2356,6727,vgg16,258,12
34,1,19648,382,vgg19,378,11
35,1,13556,2206,inception3,22,5
36,1,14122,9600,vgg16,32,23
37,1,1163,9904,vgg16,21,5
38,1,18962,6009,alexnet,29,5
39,1,1415,4594,vgg19,39,22
40,1,1404,4974,inception3,41,5
41,1,2357,4534,alexnet,219,5
42,1,13552,9257,alexnet,27,10
43,1,306,3938,resnet101,247,7
44,4,10063,5119,inception3,3793,9
45,1,14423,3904,resnet101,26,21
46,1,8238,3580,vgg19,142,5
47,1,14339,7245,resnet101,27,25
48,1,1455,8672,alexnet,40,23
49,1,2348,3313,inception3,345,5
50,8,19435,9729,vgg19,74,23
51,1,18776,7271,inception3,21,8
52,1,11111,9536,resnet101,31,22
53,1,12078,1633,vgg19,21,5
54,1,13555,3711,alexnet,25,24
55,1,3861,4253,vgg16,1274,5
56,1,13915,5309,vgg19,30,6
57,1,11494,2861,resnet101,37,5
58,4,10903,6411,inception3,24,6
59,1,1364,5005,resnet101,100,10
60,1,1469,741,inception3,40,5
61,1,1047,242,inception3,97,5
62,1,18959,7988,resnet101,39,7
63,1,1476,4696,resnet101,67,19
64,1,1350,4924,resnet101,67,5
65,1,11528,3002,alexnet,21,7
66,1,5447,689,vgg16,905,6
67,1,14410,972,inception3,35,12
68,1,11464,3886,inception3,137,23
69,1,16688,2996,alexnet,1899,5
70,4,13274,8128,vgg16,2443,5
71,1,13203,6766,vgg16,408,5
72,8,19895,4373,alexnet,1734,17
73,1,11053,8375,resnet101,27,24
74,1,3318,4300,vgg16,35,23
75,8,881,9319,alexnet,95,5
76,1,841,8636,resnet101,57,5
77,1,5706,1516,inception3,44,12
78,1,8191,3702,vgg16,1522,8
79,1,12134,1418,vgg19,28,22
80,1,2350,4513,vgg19,215,8
81,1,1382,9652,vgg16,39,5
82,1,16201,837,vgg16,202,5
83,1,987,3299,resnet101,92,5
84,2,6933,8947,alexnet,2305,5
85,1,11564,1162,resnet101,36,5
86,1,3237,426,vgg19,67,5
87,1,11633,2843,resnet101,40,16
88,1,1340,5877,resnet101,41,5
89,1,3747,2925,vgg19,92,7
90,1,17160,936,vgg19,22,11
91,1,11493,8600,vgg19,26,10
92,1,14334,4394,vgg19,34,8
93,1,3537,5652,vgg19,1246,21
94,1,3279,8305,vgg19,35,24
95,1,19081,5757,vgg19,437,8
96,1,16024,2530,inception3,374,8
97,1,3270,895,inception3,33,10
98,1,17459,3309,alexnet,21,8
99,1,13201,7742,alexnet,398,7
100,1,13872,2697,alexnet,339,13
101,1,843,6718,inception3,59,5
102,1,12497,6559,alexnet,38,8
103,1,14122,6058,vgg19,32,23
104,1,14418,7891,resnet101,30,17
105,1,11631,3809,alexnet,30,17
106,4,17417,3954,resnet101,38,22
107,1,986,9040,vgg16,60,5
108,1,832,5097,alexnet,99,21
109,1,338,9501,vgg19,179,14
110,1,18961,8324,vgg19,29,15
111,1,12315,3094,resnet101,26,7
112,1,10261,7672,alexnet,75,22
113,1,3861,5368,alexnet,1630,18
114,1,33,6398,alexnet,46,5
115,1,3278,9831,vgg19,34,6
116,1,18175,1939,vgg19,22,18
117,1,7403,5103,vgg19,100,11
118,1,925,644,resnet101,58,15
119,1,14336,9021,vgg16,37,16
120,1,1006,940,inception3,99,5
121,1,3201,7842,vgg19,35,20
122,1,1482,8569,vgg16,41,24
123,1,7418,3802,inception3,236,20
124,1,5708,7720,inception3,256,5
125,1,19083,4533,alexnet,68,21
126,1,17130,8133,resnet101,23,24
127,4,9734,2453,inception3,797,9
128,1,7232,8514,vgg19,96,16
129,1,115,7416,vgg16,329,5
130,1,11361,2416,resnet101,21,9
131,1,1779,525,inception3,122,33
132,1,6892,281,vgg16,149,8
133,1,13552,4674,vgg19,32,24
134,1,6669,5184,inception3,222,20
135,1,11640,5054,vgg19,28,8
136,1,1054,9620,resnet101,58,15
137,1,89,1664,inception3,35,9
138,1,13895,7280,vgg19,33,20
139,1,13201,7150,resnet101,75,7
140,1,13920,4440,resnet101,26,16
141,1,1414,4613,alexnet,39,11
142,1,38,7177,vgg19,365,14
143,1,2361,667,alexnet,215,21
144,1,13900,991,vgg19,24,20
145,1,16501,787,vgg19,307,19
146,1,12315,3101,vgg16,20,16
147,1,8557,1166,vgg16,742,17
148,1,14420,3091,alexnet,22,8
149,4,1028,4258,inception3,3724,22
150,1,7412,6844,inception3,105,9
151,8,8339,3216,resnet101,295,20
152,1,9902,4897,resnet101,927,24
153,1,7051,7181,alexnet,51,25
154,1,5598,3217,vgg16,57,12
155,1,1564,1294,vgg16,1462,25
156,1,14569,1753,inception3,28,6
157,1,1472,5772,resnet101,39,20
158,1,154,8786,alexnet,96,17
159,1,3210,1601,vgg19,34,5
160,1,7333,4834,alexnet,100,10
161,1,986,1335,vgg16,99,5
162,1,7758,5172,resnet101,212,9
163,8,16006,1347,vgg19,232,20
164,1,7809,1783,vgg19,31,5
165,1,2,8492,vgg16,159,5
166,4,17962,6987,vgg16,695,20
167,1,1369,7277,vgg16,68,18
168,1,13897,2119,alexnet,41,22
169,1,3882,8496,vgg16,73,5
170,1,13862,6667,vgg19,151,24
171,1,1099,9443,alexnet,716,9
172,1,3716,2180,vgg19,294,5
173,1,17460,5672,inception3,138,17
174,1,8238,7015,alexnet,321,25
175,1,15269,7609,inception3,402,8
176,1,3234,7011,alexnet,33,12
177,8,5985,7558,inception3,303,5
178,1,3714,8096,inception3,273,5
179,1,17461,4286,vgg16,78,8
180,1,17582,539,inception3,46,10
181,1,12312,848,resnet101,23,5
182,1,6908,4849,inception3,20,14
183,1,15716,8898,vgg16,21,5
184,1,3217,2866,inception3,34,18
185,4,9701,5478,vgg16,1101,5
186,4,17884,315,vgg16,277,5
187,1,16020,5038,vgg16,74,20
188,1,13553,3073,inception3,24,9
189,8,3031,8300,alexnet,23,6
190,1,3719,7627,resnet101,290,10
191,1,11633,2750,vgg19,42,7
192,1,13554,9335,resnet101,36,15
193,1,10078,3806,vgg16,406,7
194,1,17131,5951,resnet101,24,5
195,0,12134,8081,inception3,65,8
196,1,13862,8952,alexnet,116,21
197,2,19264,2885,vgg16,823,21
198,1,7237,5844,resnet101,103,10
199,1,14422,5545,vgg19,21,6
200,1,13896,5065,resnet101,29,5
201,1,7519,7095,alexnet,101,6
202,1,5706,3292,resnet101,164,5
203,4,8874,9838,alexnet,63,7
204,1,12315,3438,inception3,20,10
205,1,17131,6193,vgg19,24,7
206,1,8238,1973,inception3,162,23
207,1,18678,2358,inception3,40,21
208,1,11639,6080,vgg19,23,25
